"Anho","Mes","1. Imacec","2. Producción de bienes","2.1. Minería","2.2. Industria","2.3. Resto de bienes","3. Comercio","4. Servicios","5. Imacec a costo de factores","6. Impuestos sobre los productos","7. Imacec no minero","Mes_num","Fecha","IMACEC_SA","Var_m_m_SA","Var_a_a_NSA"
2010,"Enero",72.478647028526,83.790436193281,86.65198467412,76.474609391694,85.38069420677,71.3822633067,66.65507254294,73.314812995046,NA,70.689669859889,1,2010-01-01,2.67699622626475e+32,NA,NA
2010,"Febrero",69.784255933159,84.70679896403,87.169448296908,72.563268015786,90.240393134784,64.478064578672,62.422046988072,70.5967769315,NA,67.662023395688,2,2010-02-01,5.14085237407753e+32,92.0380881989748,NA
2010,"Marzo",75.714061392483,83.482725901258,95.233283234379,71.613970550658,81.821530554552,73.684145606506,72.648440239373,76.631377016046,NA,73.341273382174,3,2010-03-01,1.59441289905659e+31,-96.8985436985191,NA
2010,"Abril",77.836153679346,83.568267864589,96.171315256999,79.746119827622,75.158216049769,79.889168059119,74.861080874895,78.559891218321,NA,75.581961565353,4,2010-04-01,1.00432182809014e+33,6199.00716862232,NA
2010,"Mayo",77.265079570532,80.401141192563,92.8461720181,79.417115668854,70.025646461892,77.559881627241,75.99378525329,77.754146972476,NA,75.307517599416,5,2010-05-01,1.96250809737152e+33,95.4062973124372,NA
2010,"Junio",76.186444175657,80.695425064271,101.71817515053,78.350267836775,64.869606615926,71.050186635878,75.921395970955,77.050911220614,NA,73.168994203618,6,2010-06-01,2.30904100777776e+33,17.6576550624364,NA
2010,"Julio",74.112635101111,78.51069459785,96.882859950262,78.273123522818,63.134424603837,71.901177879507,71.735363918251,74.171834651022,NA,71.398281327599,7,2010-07-01,6.94238166125486e+33,200.660821434967,NA
2010,"Agosto",77.296542693899,80.032584812732,99.233642399118,81.461147338593,62.734049873645,72.751397698096,77.369977363093,77.778620783323,NA,74.659254589697,8,2010-08-01,1.23692337877931e+34,78.1698902672733,NA
2010,"Septiembre",75.05015526522,78.290096058354,99.609138279638,76.180493813369,62.113521151824,70.316537129284,74.545239847249,75.384584638839,NA,72.141003050168,9,2010-09-01,1.64006351603315e+34,32.5921673217697,NA
2010,"Octubre",80.061679388225,82.984077743636,101.0035249697,83.26299638594,67.386357008578,79.86705239371,78.96265447178,80.507819393883,NA,77.520372687308,10,2010-10-01,2.25683083315386e+34,37.606306773563,NA
